Date,SQQQ_open,SQQQ_high,SQQQ_low,SQQQ_close,SQQQ_volume
2015-01-02 00:00:00-05:00,54818.4653133325,56905.36813967283,54073.14287535381,55955.08203125,2131
2015-01-05 00:00:00-05:00,56849.47117606513,59029.539392256425,56644.5074976198,58712.77734375,1873
2015-01-06 00:00:00-05:00,58321.485295664985,61694.06958912037,58004.72323495371,60874.21484375,2765
2015-01-07 00:00:00-05:00,59718.96394354935,60147.524371225365,58153.78672942825,58619.61328125,1486
2015-01-08 00:00:00-05:00,57017.168957840986,57259.39876060305,54874.366856484216,55191.12890625,2315
2015-01-09 00:00:00-05:00,54725.30729770281,57222.13779749586,54632.14198054636,56271.8515625,2363
2015-01-12 00:00:00-05:00,55917.82297100722,58507.8187700642,55824.65765449438,58041.9921875,2248
2015-01-13 00:00:00-05:00,56365.01221251403,59495.366609771016,54557.6052093359,58079.25390625,3774
2015-01-14 00:00:00-05:00,59868.02632837145,60594.71572358044,58191.05080096609,59066.8046875,3258
2015-01-15 00:00:00-05:00,58284.22018252884,61582.2722836502,57948.82505360125,61377.30859375,3119
2015-01-16 00:00:00-05:00,61638.16915611234,61936.29814840308,58955.00822549559,59215.87109375,2518
2015-01-20 00:00:00-05:00,58079.253990648176,60110.257739438886,57315.29845211222,57781.125,1794
2015-01-21 00:00:00-05:00,58284.22219036698,58899.11328125,56104.15377723624,56868.109375,2591
2015-01-22 00:00:00-05:00,56234.584096078856,57743.86219806109,53570.05608887565,53756.38671875,3253
2015-01-23 00:00:00-05:00,53737.7540097629,54203.580587517434,52917.899232914926,53439.625,2036
2015-01-26 00:00:00-05:00,53551.41796875,54371.27266277401,53271.92205033273,53551.41796875,1507
2015-01-27 00:00:00-05:00,56029.61459721213,58228.31580189156,55973.715414042315,57687.95703125,2737
2015-01-28 00:00:00-05:00,54948.90028691375,58638.24659305445,54781.20272754372,58600.98046875,3006
2015-01-29 00:00:00-05:00,58750.05176931651,60296.59610704352,56625.88243798061,56942.64453125,2948
2015-01-30 00:00:00-05:00,57073.06587800712,58470.54545386429,55768.75160720708,58284.21484375,2516
2015-02-02 00:00:00-05:00,57892.92913880456,60594.72338570725,56569.98161101083,56774.9453125,2245
2015-02-03 00:00:00-05:00,56197.320008460236,57222.13850994078,54986.17087034687,55060.703125,2477
2015-02-04 00:00:00-05:00,55787.38612721332,56160.04735718803,54166.30977682336,55247.02734375,2319
2015-02-05 00:00:00-05:00,54837.09886555257,55228.39314899689,53700.48213745244,53868.1796875,1545
2015-02-06 00:00:00-05:00,53514.15464552873,55358.827803574466,53197.392588086535,54799.8359375,2161
2015-02-09 00:00:00-05:00,55414.727562079126,55675.590435606064,54538.973629524415,55340.1953125,1429
2015-02-10 00:00:00-05:00,54371.27237667963,54650.768293626235,52507.96626370226,52694.296875,1992
2015-02-11 00:00:00-05:00,52563.86902893808,52843.364964930304,51781.280408159844,52135.30859375,2673
2015-02-12 00:00:00-05:00,51166.38619377083,51352.71680627546,50271.99925374861,50327.8984375,2595
2015-02-13 00:00:00-05:00,49936.61020674905,50160.20696886882,48986.32396774002,49004.95703125,2384
2015-02-17 00:00:00-05:00,49042.22492136866,49377.620076605985,48781.36202285074,48874.52734375,1098
2015-02-18 00:00:00-05:00,49079.48939604055,49265.82003156083,48613.66280723987,48706.828125,1075
2015-02-19 00:00:00-05:00,48781.36264690171,48818.62877573815,47849.70942599067,47961.5078125,1878
2015-02-20 00:00:00-05:00,48091.93642241379,48483.23075208085,46899.420370095126,47011.21875,1427
2015-02-23 00:00:00-05:00,47048.4834718837,47365.24553882312,46806.253655988854,46824.88671875,1179
2015-02-24 00:00:00-05:00,47011.21885751147,47402.5131880734,46564.025336869265,46713.08984375,1470
2015-02-25 00:00:00-05:00,46973.947725502076,47383.87507574446,46414.95588426246,47085.74609375,1491
2015-02-26 00:00:00-05:00,46936.68747487942,47327.981812700964,46303.16330888264,46359.0625,1575
2015-02-27 00:00:00-05:00,46433.59066840277,47197.546213107635,46340.42535807291,46955.31640625,1166
2015-03-02 00:00:00-05:00,46713.08398118882,46713.08398118882,45650.999502956765,45688.265625,1476
2015-03-03 00:00:00-05:00,46098.19622071098,47197.54689856949,45986.39784669147,46321.79296875,1308
2015-03-04 00:00:00-05:00,46787.620593227715,47626.10841747911,46601.28996561629,46824.88671875,1362
2015-03-05 00:00:00-05:00,46489.49018989712,47197.54655351079,46228.62731909209,46638.5546875,1375
2015-03-06 00:00:00-05:00,46806.25745368584,48557.76549534446,46545.39455386434,48278.26953125,1748
2015-03-09 00:00:00-04:00,47942.86476949016,48520.489646231006,47439.77213490943,47831.06640625,1524
2015-03-10 00:00:00-04:00,48818.62659309198,50439.703125,48781.36046592169,50439.703125,2860
2015-03-11 00:00:00-04:00,50216.098150909376,51371.34790428837,50048.40060606404,51352.71484375,1770
2015-03-12 00:00:00-04:00,51445.886617439326,51520.418868967674,50122.939152811225,50290.63671875,2107
2015-03-13 00:00:00-04:00,50439.700280324156,51874.44609546452,49843.44227922687,50942.79296875,2817
2015-03-16 00:00:00-04:00,50365.17066747861,50532.86823906844,48911.7917137001,49004.95703125,1829
2015-03-17 00:00:00-04:00,49396.25492611573,49694.38396376864,48520.50087801032,48744.09765625,1217
2015-03-18 00:00:00-04:00,49154.021964373766,49880.71144754685,46638.558368774655,47234.81640625,2742
2015-03-19 00:00:00-04:00,47141.65335201405,47365.25012680621,46713.09286699574,47067.12109375,2134
2015-03-20 00:00:00-04:00,45930.498501365844,46172.72831090652,45483.30500682922,46042.296875,2649
2015-03-23 00:00:00-04:00,46228.630053671746,46452.226813302565,45855.96878762038,46433.59375,1791
2015-03-24 00:00:00-04:00,46433.59116238086,46955.316905778396,45800.06704539813,46918.05078125,1392
2015-03-25 00:00:00-04:00,46713.090043921744,50216.10597062988,46619.924726722056,50178.83984375,2497
2015-03-26 00:00:00-04:00,51371.35670048925,51893.08248489755,49824.812410993196,50700.56640625,2979
2015-03-27 00:00:00-04:00,50663.30101675893,50924.163912762844,49694.38168874442,50067.04296875,1371
2015-03-30 00:00:00-04:00,49116.7492223669,49116.7492223669,48222.36228660301,48296.89453125,1449
