Date,QQQ_open,QQQ_high,QQQ_low,QQQ_close,QQQ_volume
2015-01-02 00:00:00-05:00,95.88103202378049,96.28761602332015,94.66126592504187,95.12329864501953,31314600
2015-01-05 00:00:00-05:00,94.70745037987705,94.81834075361354,93.459963638091,93.72794342041016,36521300
2015-01-06 00:00:00-05:00,93.86655487153207,94.02364428052721,92.05538772943265,92.4712142944336,66205500
2015-01-07 00:00:00-05:00,93.0811027999061,93.88503511639175,92.85932204702968,93.66326141357422,37577400
2015-01-08 00:00:00-05:00,94.4579632141296,95.64076575927835,94.35631545946283,95.4559555053711,40212600
2015-01-09 00:00:00-05:00,95.75164860995736,95.77936944085704,94.27313849475985,94.82758331298828,41410100
2015-01-12 00:00:00-05:00,95.01241970627437,95.1140674809261,93.59860054074134,93.83885955810547,34129800
2015-01-13 00:00:00-05:00,94.75366205744106,95.75165432979803,93.0533781434189,93.81111145019531,56162300
2015-01-14 00:00:00-05:00,92.86854812303366,93.77413507740303,92.47119982418653,93.29361724853516,51354200
2015-01-15 00:00:00-05:00,93.72793430707252,93.87578107428705,91.97220900227995,92.08309936523438,51005400
2015-01-16 00:00:00-05:00,91.96296565415842,93.28437917291058,91.81511888810468,93.16425323486328,35362200
2015-01-20 00:00:00-05:00,93.72796685846825,94.14379352636094,92.67453271975032,93.9035415649414,30964100
2015-01-21 00:00:00-05:00,93.62632261124566,94.82761066381262,93.29365844438283,94.3840560913086,40128800
2015-01-22 00:00:00-05:00,94.75365315154656,96.23215616604104,93.92199300275014,96.13050842285156,40887200
2015-01-23 00:00:00-05:00,96.12128257605792,96.6387640090115,95.84406717810467,96.34306335449219,34783000
2015-01-26 00:00:00-05:00,96.23217010498047,96.40774478684075,95.74241657143284,96.23217010498047,19960900
2015-01-27 00:00:00-05:00,94.71672037728197,94.77216205514192,93.42302717675085,93.73721313476562,45253200
2015-01-28 00:00:00-05:00,95.24343326538035,95.34508103701312,93.23821277055269,93.2566909790039,43591700
2015-01-29 00:00:00-05:00,93.18273617738926,94.32858216037451,92.36956129757957,94.15300750732422,46539700
2015-01-30 00:00:00-05:00,94.0698617984743,94.79063169210713,93.29364318605924,93.42301177978516,42927600
2015-02-02 00:00:00-05:00,93.63553172581507,94.31933802402824,92.1755069660679,94.23617553710938,43624700
2015-02-03 00:00:00-05:00,94.57808897089694,95.20645370291415,93.95896686657302,95.14176940917969,30750400
2015-02-04 00:00:00-05:00,94.75365052887204,95.68695839502503,94.54111242170637,95.05859375,34073200
2015-02-05 00:00:00-05:00,95.29881601320223,95.94566570998519,95.05856420159287,95.8809814453125,23605500
2015-02-06 00:00:00-05:00,96.02888650328558,96.25990288173848,94.95697417329554,95.29887390136719,34169300
2015-02-09 00:00:00-05:00,94.92922745683353,95.44670174747785,94.7628954276895,94.99391174316406,22604700
2015-02-10 00:00:00-05:00,95.52063359782665,96.60178831811757,95.37277976425241,96.47241973876953,23686500
2015-02-11 00:00:00-05:00,96.58329605558083,97.04532867688587,96.39848582708214,96.82355499267578,20303600
2015-02-12 00:00:00-05:00,97.45193159613618,97.98789119462148,97.3040848052094,97.950927734375,22520300
