Date,TQQQ_open,TQQQ_high,TQQQ_low,TQQQ_close,TQQQ_volume,MA5,MA10,MA20,MA50,MA200,BB_middle,BB_std,BB_upper,BB_lower,RSI,MACD,MACD_signal,MACD_hist,MA_cross_up,MA_cross_down,BB_squeeze,BB_squeeze_signal,VIX,VIX_MA10,VIX_ratio,VIX_spike,price_change,price_change_abs,price_to_MA5_ratio,price_spike,UUP,UUP_change,UUP_MA20,UUP_ratio,IXIC,IXIC_change,IXIC_MA20,IXIC_ratio,QQQ,QQQ_change,QQQ_MA20,QQQ_ratio,next_day_return,target_direction,target_big_move,switch_to_sqqq
2015-01-02 05:00:00+00:00,3.952870940008693,4.004055812277367,3.805312916529023,3.8648955821990967,61113600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,20.907146453857425,0.0,0.0,0.0,4726.81005859375,0.0,0.0,0.0,95.12329864501952,0.0,0.0,0.0,-0.04500798153202368,0,1,0
2015-01-05 05:00:00+00:00,3.808910963859171,3.822906748589581,3.6589538392977854,3.69094443321228,63508800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013876444933421439,-0.002775288986684288,-0.011101155946737152,0,0,0.0,0,0.0,0.0,0.0,0,-0.04500798153202368,0.04500798153202368,0.0,0,20.950342178344727,0.0020660746115035433,0.0,0.0,4652.56982421875,-0.015706202164824656,0.0,0.0,93.72794342041016,-0.014668911239259508,0.0,0.0,-0.039653269183924866,0,1,0
2015-01-06 05:00:00+00:00,3.704140804352505,3.72573466864755,3.4938017571193103,3.544586420059204,84321600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036265450475425176,-0.009473321284432467,-0.02679212919099271,0,0,0.0,0,0.0,0.0,0.0,0,-0.039653269183924866,0.039653269183924866,0.0,0,20.99353790283203,0.002061814748398394,0.0,0.0,4592.740234375,-0.012859471669250278,0.0,0.0,92.4712142944336,-0.013408265242091044,0.0,0.0,0.03847045077400235,1,1,0
2015-01-07 05:00:00+00:00,3.612167638703868,3.7045410624593584,3.5877742049836105,3.680948257446289,68733600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04251554527688084,-0.016081766082922142,-0.026433779193958697,0,0,0.0,0,0.0,0.0,0.0,0,0.03847045077400235,0.03847045077400235,0.0,0,21.071292877197266,0.0037037575431602132,0.0,0.0,4650.47021484375,0.012569833590121648,0.0,0.0,93.66326141357422,0.012891007523109677,0.0,0.0,0.05703413999959572,1,1,0
2015-01-08 05:00:00+00:00,3.7757210041419738,3.912881353553809,3.7629242163368,3.890887975692749,72468000,3.7344525337219237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030180507608481566,-0.01890151438803403,-0.011278993220447536,0,0,0.0,0,0.0,0.0,0.0,0,0.05703413999959572,0.05703413999959572,1.0418897925621549,1,21.157686233520508,0.004100050093116758,0.0,0.0,4736.18994140625,0.01843248587828672,0.0,0.0,95.4559555053711,0.019139778657516038,0.0,0.0,-0.020246676887934578,0,0,0
2015-01-09 05:00:00+00:00,3.9272774042027,3.9316766292632472,3.747328826088876,3.812110424041748,90710400,3.7238955020904543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02645661603293803,-0.02041253471701483,-0.0060440813159232006,0,0,0.0,0,0.0,0.0,0.0,0,-0.020246676887934578,0.020246676887934578,1.023688882220721,0,21.062650680541992,-0.004491774380695257,0.0,0.0,4704.06982421875,-0.006781847346680303,0.0,0.0,94.82758331298828,-0.0065828495357469485,0.0,0.0,-0.030735342404067723,0,1,0
2015-01-12 05:00:00+00:00,3.837703168806348,3.847700845558789,3.664552276379333,3.694943904876709,82627200,3.72469539642334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032584154178849634,-0.02284685860938179,-0.009737295569467844,0,0,0.0,0,0.0,0.0,0.0,0,-0.030735342404067723,0.030735342404067723,0.9920123692328774,0,21.062650680541992,0.0,0.0,0.0,4664.7099609375,-0.008367193675273943,0.0,0.0,93.83885955810548,-0.010426541733320471,0.0,0.0,-0.00086567583692021,0,0,0
2015-01-13 05:00:00+00:00,3.79931417829302,3.918080207906376,3.602970680159493,3.6917452812194815,99854400,3.7541271686553954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03726876339768914,-0.025731239567043263,-0.01153752383064588,0,0,0.0,0,0.0,0.0,0.0,0,-0.00086567583692021,0.00086567583692021,0.9833831181967506,0,21.12312889099121,0.002871348500551818,0.0,0.0,4661.5,-0.0006881373042226802,0.0,0.0,93.81111145019533,-0.00029569954324704106,0.0,0.0,-0.01538144890224924,0,0,0
2015-01-14 05:00:00+00:00,3.5745778354009303,3.6841468121826058,3.532590020319752,3.634960889816284,108074400,3.7449296951293944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04504413502412685,-0.029593818658459982,-0.01545031636566687,0,0,0.0,0,0.0,0.0,0.0,0,-0.01538144890224924,0.01538144890224924,0.9706352817634643,0,21.079931259155277,-0.0020450394474635925,0.0,0.0,4639.31982421875,-0.004758162776198671,0.0,0.0,93.29361724853516,-0.005516342293150567,0.0,0.0,-0.039714075656309133,0,1,0
2015-01-15 05:00:00+00:00,3.6765485248159337,3.696942703331854,3.4754063085304154,3.4906017780303955,98006400,3.6648724555969237,3.6996624946594237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.062138453506117575,-0.0361027456279915,-0.026035707878126077,0,0,0.0,0,0.0,0.0,0.0,0,-0.039714075656309133,0.039714075656309133,0.9524483649354877,0,21.149045944213867,0.003278695941125287,0.0,0.0,4570.81982421875,-0.014765095444036369,0.0,0.0,92.08309936523438,-0.012975355860368798,0.0,0.0,0.03562862155321711,1,1,0
